"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
3.15,25,75.6046004421045
3.15,37.5,29.8985146883511
3.15,50,-0.507714726268004
3.15,62.5,-21.2980567527895
3.15,75,-35.8054513319189
3.15,87.5,-45.972588284945
3.15,100,-52.9260986159831
3.15,112.5,-57.320046620512
3.15,125,-59.5415062581139
3.15,137.5,-59.8334834037708
3.15,150,-58.3681193723349
3.15,162.5,-55.2898234983645
3.15,175,-50.7400755997141
3.15,187.5,-44.8709305705078
3.15,200,-37.8514628589892
3.15,212.5,-29.8697163018952
3.15,225,-21.1317523759066
3.15,237.5,-11.8587872385544
3.15,250,-2.28308251903059
3.15,262.5,7.35696649777273
3.15,275,16.8222084779058
3.15,287.5,25.8783249264231
3.15,300,34.301414570434
3.15,312.5,41.8833919467609
3.15,325,48.4370386077322
3.15,337.5,53.8005668795351
3.15,350,57.8415734451002
3.15,362.5,60.4602796091334
3.15,375,61.5919740238792
3.15,387.5,61.2085965645351
3.15,400,59.3194222158929
3.15,412.5,55.970827175309
3.15,425,51.2451432704101
3.15,437.5,45.2586265447422
3.15,450,38.1585935943869
3.15,462.5,30.1197902247337
3.15,475,21.3400883802996
3.15,487.5,12.0356119218278
3.15,500,2.43541335226534
3.3,0,263.525
3.3,12.5,184.340668466663
3.3,25,105.156699039869
3.3,37.5,52.9505623305295
3.3,50,17.253059633307
3.3,62.5,-8.13130419178672
3.3,75,-26.8364746149432
3.3,87.5,-40.9670134172656
3.3,100,-51.7207925897522
3.3,112.5,-59.7652143897377
3.3,125,-65.4648702073586
3.3,137.5,-69.0194549193184
